# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PSLT062	PSLT062	AAL23471	protein_coding	8	59	36	1077	0	0	0	0	827	6	0	36	0	0	2	0	0	0	0	59	250
PSLT063	PSLT063	AAL23472	protein_coding	0	0	0	1180	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	354
PSLT064	PSLT064	AAL23473	protein_coding	0	0	0	1180	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	354
PSLT067	PSLT067	AAL23475	protein_coding	4	30	38	1237	0	0	1	0	812	4	0	37	0	0	0	0	0	0	0	30	425
PSLT068	PSLT068	AAL23476	protein_coding	27	220	232	1070	0	1	0	4	620	22	0	227	0	1	1	0	7	1	0	220	450
PSLT087	PSLT087	AAL23491	protein_coding	2	7	19	1643	0	0	0	0	689	2	0	19	0	0	0	0	0	0	0	7	954
PSLT093	PSLT093	AAL23496	protein_coding	4	2	3	1592	0	0	0	0	898	0	0	3	0	1	0	0	4	0	1	1	694
PSLT106	PSLT106	AAL23543	protein_coding	0	0	0	1577	0	0	0	0	879	0	0	0	0	0	0	0	0	0	0	0	698
PSLT107	PSLT107	AAL23544	protein_coding	0	0	0	1539	0	0	0	0	806	0	0	0	0	0	0	0	0	0	0	0	733
STM0014	STM0014	AAL18978	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
STM0015	STM0015	AAL18979	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0016	STM0016	AAL18980	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0017	STM0017	AAL18981	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0018	STM0018	AAL18982	protein_coding	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0019	STM0019	AAL18983	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0020	STM0020	AAL18984	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0029	STM0029	AAL18993	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
STM0030	STM0030	AAL18994	protein_coding	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
STM0031	STM0031	AAL18995	protein_coding	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
STM0032	STM0032	AAL18996	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
STM0033	STM0033	AAL18997	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
STM0034	STM0034	AAL18998	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
STM0035	STM0035	AAL18999	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0050	STM0050	AAL19014	protein_coding	0	0	0	67	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0
STM0052	STM0052	AAL19016	protein_coding	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88
STM0053	STM0053	AAL19017	protein_coding	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88
STM0054	STM0054	AAL19018	protein_coding	0	42	10	36	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	42	36
STM0055	STM0055	AAL19019	protein_coding	0	30	1	57	0	0	0	0	57	0	0	1	0	0	0	0	0	0	0	30	0
STM0056	STM0056	AAL19020	protein_coding	0	0	0	88	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0
STM0057	STM0057	AAL19021	protein_coding	0	0	0	88	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0
STM0065	STM0065	AAL19029	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
STM0080	STM0080	AAL19044	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0081	STM0081	AAL19045	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0082	STM0082	AAL19046	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0083	STM0083	AAL19047	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0084	STM0084	AAL19048	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0100	STM0100	AAL19064	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0148	STM0148	AAL19112	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
STM0149	STM0149	AAL19113	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0155	STM0155	AAL19119	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0156	STM0156	AAL19120	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0159	STM0159	AAL19123	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
STM0162	STM0162	AAL19126	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
STM0163	STM0163	AAL19127	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0164	STM0164	AAL19128	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0201	STM0201	AAL19165	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0233	STM0233	AAL19197	protein_coding	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
STM0257	STM0257	AAL19214	protein_coding	0	0	0	45	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	43
STM0266	STM0266	AAL19222	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0267	STM0267	AAL19223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0268	STM0268	AAL19224	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0269	STM0269	AAL19225	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
STM0270	STM0270	AAL19226	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0271	STM0271	AAL19227	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0272	STM0272	AAL19228	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0273	STM0273	AAL19229	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0274	STM0274	AAL19230	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0274A	STM0274A	AAL19231	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0275	STM0275	AAL19232	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0276	STM0276	AAL19233	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0277	STM0277	AAL19234	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0278	STM0278	AAL19235	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0279	STM0279	AAL19236	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0280	STM0280	AAL19237	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
STM0281	STM0281	AAL19238	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0282	STM0282	AAL19239	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0283	STM0283	AAL19240	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0284	STM0284	AAL19241	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0285	STM0285	AAL19242	protein_coding	0	0	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
STM0286	STM0286	AAL19243	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0287	STM0287	AAL19244	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0288	STM0288	AAL19245	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
STM0289	STM0289	AAL19246	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
STM0290	STM0290	AAL19247	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0291	STM0291	AAL19248	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0292	STM0292	AAL19249	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0293	STM0293	AAL19250	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0294	STM0294	AAL19251	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0295	STM0295	AAL19252	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0296	STM0296	AAL19253	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0297	STM0297	AAL19254	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0298	STM0298	AAL19255	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0305	STM0305	AAL19262	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0306	STM0306	AAL19263	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
STM0307	STM0307	AAL19264	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0324	STM0324	AAL19279	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0325	STM0325	AAL19280	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0327	STM0327	AAL19281	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0328	STM0328	AAL19282	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0329	STM0329	AAL19283	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0330	STM0330	AAL19284	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0331	STM0331	AAL19285	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0332	STM0332	AAL19286	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0333	STM0333	AAL19287	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0334	STM0334	AAL19288	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0335	STM0335	AAL19289	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
STM0341	STM0341	AAL19295	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
STM0342	STM0342	AAL19296	protein_coding	1	0	0	5	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2
STM0343	STM0343	AAL19297	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
STM0344	STM0344	AAL19298	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
STM0345	STM0345	AAL19299	protein_coding	0	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1
STM0346	STM0346	AAL19300	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
STM0347	STM0347	AAL19301	protein_coding	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
STM0348	STM0348	AAL19302	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
STM0349	STM0349	AAL19303	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
STM0350	STM0350	AAL19304	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
STM0351	STM0351	AAL19305	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
STM0354	STM0354	AAL19308	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0355	STM0355	AAL19309	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0356	STM0356	AAL19310	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0359	STM0359	AAL19313	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0360	STM0360	AAL19314	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0361	STM0361	AAL19315	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
STM0362	STM0362	AAL19316	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
STM0363	STM0363	AAL19317	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0381	STM0381	AAL19335	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0382	STM0382	AAL19336	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0402	STM0402	AAL19356	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0409	STM0409	AAL19363	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
STM0410	STM0410	AAL19364	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
STM0412	STM0412	AAL19366	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
STM0436A	STM0436A	AAL19391	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0437	STM0437	AAL19392	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0438	STM0438	AAL19393	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0458	STM0458	AAL19413	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0497	STM0497	AAL19451	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0520	STM0520	AAL19474	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0551	STM0551	AAL19505	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0554	STM0554	AAL19507	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0556	STM0556	AAL19508	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0557	STM0557	AAL19509	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0561	STM0561	AAL19512	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0562	STM0562	AAL19513	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0563	STM0563	AAL19514	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0564	STM0564	AAL19515	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0565	STM0565	AAL19516	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0566	STM0566	AAL19517	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0567	STM0567	AAL19518	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
STM0571	STM0571	AAL19522	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0572	STM0572	AAL19523	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0573	STM0573	AAL19524	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0574	STM0574	AAL19525	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0575	STM0575	AAL19526	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0576	STM0576	AAL19527	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
STM0577	STM0577	AAL19528	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0580	STM0580	AAL19531	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
STM0581	STM0581	AAL19532	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0610	STM0610	AAL19561	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
STM0611	STM0611	AAL19562	protein_coding	0	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
STM0612	STM0612	AAL19563	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0613	STM0613	AAL19564	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0649	STM0649	AAL19600	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0650	STM0650	AAL19601	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0652	STM0652	AAL19603	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0660	STM0660	AAL19611	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0672	STM0672	AAL19623	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STM0699	STM0699	AAL19643	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0707	STM0707	AAL19651	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
STM0715	STM0715	AAL19659	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0716	STM0716	AAL19660	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0717	STM0717	AAL19661	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0718	STM0718	AAL19662	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0719	STM0719	AAL19663	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0720	STM0720	AAL19664	protein_coding	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
STM0721	STM0721	AAL19665	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0722	STM0722	AAL19666	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0723	STM0723	AAL19667	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0724	STM0724	AAL19668	protein_coding	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
STM0725	STM0725	AAL19669	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
STM0726	STM0726	AAL19670	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0727	STM0727	AAL19671	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0731	STM0731	AAL19675	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STM0761	STM0761	AAL19700	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
STM0762	STM0762	AAL19701	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
STM0763	STM0763	AAL19702	protein_coding	0	0	0	45	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	1
STM0764	STM0764	AAL19703	protein_coding	0	0	0	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	49
STM0765	STM0765	AAL19704	protein_coding	0	0	1	48	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	0
STM0769	STM0769	AAL19707	protein_coding	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
STM0770	STM0770	AAL19708	protein_coding	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
STM0771	STM0771	AAL19709	protein_coding	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
STM0777	STM0777	AAL19715	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
STM0780	STM0780	AAL19718	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
STM0809	STM0809	AAL19746	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
STM0810	STM0810	AAL19747	protein_coding	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
STM0818	STM0818	AAL19755	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
STM0835	STM0835	AAL19771	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
